ISIN,NOM,NAM,SECTOR,GLOBAL,US EQUITY,EUROPEAN EQUITY +  UK,JAPON EQUITY,EM GLOBAL,EM ASIAN EQUITY,LATIN AMERICAN EQUITY,ALTERNATIVE,TOTAL,ORO,PLATA,REAL ESTATE,CONTROL,RIESGO,USD,EUR,JPY,CAD,GBP,MXN,BRL,AUD,COP,TOTAL,,,,,,,,,,,,,,,
IE00BH7Y7M45,ACADIAN EMERGING MARKETS EQUITY FUND UCIT IICUSDI,FM EM Global,EM EQUITY,0,0,0,0,1,0,0,0,1,0,0,0,1,USD/BRL,0.12543441276182687,0.028630937937094904,0.03480487748007352,0.028879135241847296,0,0.15178011632048763,0.03376889638891139,0.596681620026624,0,0.9999799961568656,,,,,,,,,,,,,,,
LU0742535718,FIDELITY FDS-EMERG AS-IA USD,FM EM Global,EM EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.05689641634135741,0,0,0,0,0.12845744562165654,0,0.8146461380369858,0,0.9999999999999998,,,,,,,,,,,,,,,
LU0859042482,BGF ASIAN GROWTH LEADERS FUND,FM EM Asia,EM EQUITY,0,0,0,0,0,1,0,0,1,0,0,0,1,USD,0.11054580898830073,0,0,0.01824685059026816,0,0.15132872412258153,0,0.7198786162988494,0,0.9999999999999998,,,,,,,,,,,,,,,
US4642868065,iShares MSCI Germany Index Fun,ETF Países,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR,0.0055788485280667795,0.9944211514719331,0,0,0,0,0,0,0,0.9999999999999999,,,,,,,,,,,,,,,
US4642878619,iShares S&P Europe 350 Index F,ETF Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR,0.007183416260416061,0.7547538466128579,0,0,0.23806273712672585,0,0,0,0,0.9999999999999999,,,,,,,,,,,,,,,
US4642866085,ISHARES MSCI EMU,ETF Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR,0.01941179169304447,0.9796057059404132,0,0,0.0009825023665426728,0,0,0,0,1.0000000000000004,,,,,,,,,,,,,,,
LU0195949390,FRANKLIN TEMPLENTON EUROPEAN GROUWT FUND-FRAEGIA L,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR/GBP,0.07830624708334273,0.6830156897402518,0,0,0.23867806317640533,0,0,0,0,1,,,,,,,,,,,,,,,
LU0278085062,VONTOBEL-EU VALUE EQUITY I-VONEUJC LX,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR/GBP,0.06758019153455928,0.6776258119000165,0,0.051164846544536194,0.20362915002088816,0,0,0,0,1.0000000000000002,,,,,,,,,,,,,,,
LU0406496546,BGF - Continental European Flexible Fund,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR/GBP,0.05628225522068201,0.8994888523912694,0,0,0.04422889238804837,0,0,0,0,0.9999999999999998,,,,,,,,,,,,,,,
GB0030810138,Threadneedle European Select,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR/GBP,0.009102903903202534,0.9415989823784936,0,0,0.04929811371830359,0,0,0,0,0.9999999999999998,,,,,,,,,,,,,,,
LU0219424487,MFS Meridian Funds - European Value Fund,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR/GBP,0.04075417451095433,0.6965561239720356,0,0,0.26268970151701015,0,0,0,0,1,,,,,,,,,,,,,,,
LU0188800162,Pictet Europe Index,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR,0.0185212632545846,0.7589486888020786,0,0,0.22253004794333708,0,0,0,0,1.0000000000000002,,,,,,,,,,,,,,,
LU0380865021,db x-trackers Eurostoxx 50,ETF Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR,0.016938976663337508,0.9830610233366625,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
LU0274211480,db x-trackers DAX,ETF Países,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR,1.590967585330929e-09,0.9999999984090325,0,0,0,0,0,0,0,1.0000000000000002,,,,,,,,,,,,,,,
LU0947761630,MFS MER EUROPEAN VALUE IH1US,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR/GBP,0.04075417451095433,0.6965561239720356,0,0,0.26268970151701015,0,0,0,0,1,,,,,,,,,,,,,,,
LU0212179997,Parvest Equity European Small Cap,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR/GBP,0,0.8884000000000001,0,0,0.1116,0,0,0,0,1,,,,,,,,,,,,,,,
US9220428745,Vanguard FTSE Europe ETF,ETF Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR/GBP,0.01664111427512688,0.7518425922585991,0,0,0.23151629346627542,0,0,0,0,1.0000000000000013,,,,,,,,,,,,,,,
LU0113993397,Henderson Gartmore Continental European Fund,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR,0.008133148802636943,0.9498576866930357,0,0,0.04200916450432735,0,0,0,0,1,,,,,,,,,,,,,,,
LU0255980830,PICTET EUROLAND INDEX-IS,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR,0.019725402752226576,0.9795304243663019,0,0,0.0007441728814723283,0,0,0,0,1.0000000000000009,,,,,,,,,,,,,,,
