isin,nemo,frecuencia,moneda
COL40CB72495,BPEMINHTA4,PV,COP
COL17CB0RHN6,BPEMINHTA4,PV,COP
COL40CB00CY3,BPEMINHTA4,PV,COP
COL40CB044E7,BPEMINHTA4,PV,COP
COL17CB0XSD2,BPEMINHTA4,PV,COP
COL17CB0BDY6,BPEMINHTA4,PV,COP
COL40CB044F4,BPEMINHTA4,PV,COP
COL17CB0WYV4,BPEMINHTA3,PV,COP
COL40CB03N40,BPEMINHTA3,PV,COP
COL17CB0YFP1,BPEMINHTA4,PV,COP
COL17CB0NRW5,BPEMINHTA4,PV,COP
COL40CB94747,BPEMINHTA4,PV,COP
COL40CB04TO0,BPEMINHTA4,PV,COP
COL17CB0YVB8,BPEMINHTA4,PV,COP
COL40CB04II5,BPEMINHTA4,PV,COP
COL17CB0YG82,BPEMINHTA4,PV,COP
COL17CB0YFK2,BPEMINHTA4,PV,COP
COL17CB0YXT6,BPEMINHTA4,PV,COP
COL17CB0VM87,BPEMINHTA4,PV,COP
COL40CB02RK6,BPEMINHTA4,PV,COP
COL40CB99522,BPEMINHTA3,PV,COP
COL40CB49592,BPEMINHTA4,PV,COP
COL17CB0XUL1,BPEMINHTA4,PV,COP
COL40CB05AB4,BPEMINHTA4,PV,COP
COL17CB0BEH9,BPEMINHTA3,PV,COP
COL17CB0TZ86,BPEMINHTA4,PV,COP
COL17CB0XUR8,BPEMINHTA4,PV,COP
COL40CB046A0,BPEMINHTA4,PV,COP
COL17CB0MDS5,BPEMINHTA4,PV,COP
COL40CB67313,BPEMINHTA4,PV,COP
COL40CB04I12,BPEMINHTA3,PV,COP
COL17CB0YFI6,BPEMINHTA3,PV,COP
COL40CB49733,BPEMINHTA3,PV,COP
COL40CB00E10,BPEMINHTA4,PV,COP
COL17CB0R042,BPEMINHTA4,PV,COP
COL17CB0M0P8,BPEMINHTA4,PV,COP
COL40CB04XF0,BPEMINHTA4,PV,COP
COL17CB0Z6K1,BPEMINHTA4,PV,COP
COL40CB44163,BPEMINHTA3,PV,COP
COL17CB0I900,BPEMINHTA3,PV,COP
COL40CB44130,BPEMINHTA4,PV,COP
COL17CB0J6N5,BPEMINHTA4,PV,COP
COL40CB037C5,BPEMINHTA4,PV,COP
COL40CB04GM1,BPEMINHTA4,PV,COP
