nemo_o_isin,clase_inversion,moneda,tasa_facial,ubicacion,clasificacion,riesgo,clase
US912810UM89,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
COC07PA00027,Acciones Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
AC ORD MINEROS,Acciones Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COL17CT04084,TF TES,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
US05971V2J35,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US05971V2H78,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
LU1911739453,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
BRUTON BMA I,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
LEXINGTON LCP X COINVEST,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
IE00B5SSQT16,Fondo Mutuo o Fondo Indice,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
UC65 LN,Fondo Mutuo o Fondo Indice,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
GB00BNGGYW21,Fondo Mutuo o Fondo Indice,GBP,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
LU0234682044,Fondo Mutuo o Fondo Indice,EUR,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
XS3183160236,EM BONDS,EUR,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
XS3178859388,EM BONDS,EUR,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
