nemo_o_isin,clase_inversion,moneda,tasa_facial,ubicacion,clasificacion,riesgo,clase
COR26PT00884,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COR26PT01189,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COR5TPT00118,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
XS1874574756,Notas estructuradas,COP,TASA FIJA,NACIONAL,Notas estructuradas,TASA FIJA,NOTAS ESTRUCTURADAS
XS1836384674,Notas estructuradas,COP,TASA FIJA,NACIONAL,Notas estructuradas,TASA FIJA,NOTAS ESTRUCTURADAS
US912796RH48,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
USTOUS040419,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US912796RD34,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
COR7CPT00029,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COR9BPT00936,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
TUVT18250237,Inflacion-TES,UVR,TASA FIJA,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BCOS919SE004,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BCOS9199B010,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
COR7CPT00037,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FEP5 FCP ESCALA CAP,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COR28PT00138,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH5PT00151,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH5PT00169,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH5PT00185,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH5PT00193,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH5PT00201,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH5PT00219,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH5PT00227,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH5PT00235,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH5PT00177,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH5PT00243,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH5PT00144,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH5PT00250,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORI5PT00127,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORI5PT00135,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORI5PT00143,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORI5PT00150,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORI5PT00168,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORI5PT00176,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORI5PT00184,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORI5PT00192,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORI5PT00200,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORI5PT00218,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORI5PT00226,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
BDVI6199C120,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BDVI619SF036,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTBCB90PA,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
COR6NPT00028,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COR9BPT00548,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CARLYLE EUROPE PARTNERS V SCSP,Fondo de Capital Privado,EUR,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
VISTA EQUITY PARTNERS FUND VII LP US,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
VISTA EQUITY PARTNERS FUND VII,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
XS1882592519,Notas estructuradas,COP,TASA FIJA,NACIONAL,Notas estructuradas,TASA FIJA,NOTAS ESTRUCTURADAS
BISA1189C009,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
XS1882563338,Notas estructuradas,COP,TASA FIJA,NACIONAL,Notas estructuradas,TASA FIJA,NOTAS ESTRUCTURADAS
INST05040424,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CORA5PT00406,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00448,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00455,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00463,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00471,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00489,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00497,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00505,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00513,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00273,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00281,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00307,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00323,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00331,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00349,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00398,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORA5PT00430,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH6PT00100,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH6PT00118,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH6PT00126,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH6PT00134,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH6PT00142,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH6PT00159,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH6PT00167,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH6PT00175,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH6PT00183,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
LU0935229152,Fondo Mutuo o Fondo Indice,EUR,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COR7CPT00045,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FEP5 FCP 4G COINV EQ INFRA COL,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
BEEP2199C012,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BEEP219SA003,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BOPF5 EMP ENERGIA PACIFICO ESP,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BOPI5 EMP ENERGIA PACIFICO ESP,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BPESIOOXY4,Bono Pensional,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BGLT30150645,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BGLT10280126,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BGLT10260224,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
FONINMOBAL,Titularización Inmobiliaria,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORM3PT00522,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COR7LPT00012,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FONDARRER,Titularización Inmobiliaria,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COR7HPT00010,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORC4PT00373,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FCP AMERICAN SECURITIES VIII,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
GLENDOWER SOF IV FCP,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
APOLLO ADVISORS IX LP,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FCP APOLLO OVERSEAS PARTNERS IX,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FCP NORDIC CAPITAL FUND IX,Fondo de Capital Privado,EUR,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
AMERICAN SECURITIES PARTNERS VIII LP,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
IE00B4PY7Y77,HIGH YIELD,USD,TASA FIJA,INTERNACIONAL,R FIJA,HIGH YIELD,R FIJA
IE0032895942,SOBERANOS OTRAS MONEDAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
IE00B1FZSC47,SOBERANOS OTRAS MONEDAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
IE00B6TLBW47,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US912796RR20,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US195325DQ52,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
XS1969466678,Notas estructuradas,COP,TASA FIJA,NACIONAL,Notas estructuradas,TASA FIJA,NOTAS ESTRUCTURADAS
COJ0WCB00044,Inflacion-CORPORATIVO LOCAL,UVR,TASA FIJA,NACIONAL,R FIJA,INFLACIÓN,R FIJA
COR7NPT00018,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORI5PT00234,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COR6APT00074,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
BBSA619SA036,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BBSA6199C060,Inflacion-CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,INFLACIÓN,R FIJA
AC PREF AVIANCA HOLDING S.A.,Acciones Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
INST15230534,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
INST15040434,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BEEP2199C007,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BEEP2199C020,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
SKEOZKGFIC01,VISTA,COP,N/A,NACIONAL,CAJA,TASA FIJA,R FIJA
COR9QPT00421,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH4PT00261,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH4PT00204,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH4PT00220,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH4PT00154,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH4PT00253,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH4PT00246,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH4PT00196,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH4PT00238,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH4PT00212,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH4PT00188,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH4PT00170,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH4PT00162,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
XS1931310004,Notas estructuradas,COP,TASA FIJA,NACIONAL,Notas estructuradas,TASA FIJA,NOTAS ESTRUCTURADAS
XS1836379591,Notas estructuradas,COP,TASA FIJA,NACIONAL,Notas estructuradas,TASA FIJA,NOTAS ESTRUCTURADAS
XS1882568568,Notas estructuradas,COP,TASA FIJA,NACIONAL,Notas estructuradas,TASA FIJA,NOTAS ESTRUCTURADAS
XS1931315060,Notas estructuradas,COP,TASA FIJA,NACIONAL,Notas estructuradas,TASA FIJA,NOTAS ESTRUCTURADAS
XS1836380177,Notas estructuradas,COP,TASA FIJA,NACIONAL,Notas estructuradas,TASA FIJA,NOTAS ESTRUCTURADAS
FCP CO INVERSION EQUITY INFRAESTRUCTURA COLOMBIA,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
BOPF5 COLTEL SA ESP,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BOPI5 COLTEL SA ESP,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
SEEYOND EUROPE MINVOL SIA,Fondo Mutuo o Fondo Indice,EUR,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COI06CB00022,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
COI06CB00014,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
COR9BPT00944,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH7PT00348,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
LU1787469441,Fondo Mutuo o Fondo Indice,EUR,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
BCTE1199C010,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BCTE119SA005,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
US9128286T26,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US912810SH23,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BSFDT1199A07,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BSIS2179C012,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
COR6APT00082,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
BWWB119SA003,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BGMA119SA003,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
COR5LPT00099,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORH2PT00232,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORB0PT00174,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FCP COINVERSIN EQUITY INFRAESTRUCTURA COLOMBIA COM,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FCP HARBOURVEST COINVESTMENT V,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
STRATEGIC PARTNERS BSP VIII,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
SKJZAPJFCP12,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
YUSD15052049,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
USTOUS220819,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
USTOUS150249,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US912796QV41,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
SBTG119SA003,EM CORPORATIVOS,COP,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
COR7CPT00052,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COR7LPT00020,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
CORI5PT00242,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
BDVI719SF060,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BDVI7199C120,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CORM3PT00530,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
USP9379RBA43,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BITU4188B024,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
BITU619SA036,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BITU316SA060,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BITU1139AS10,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BITU2169C120,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BITU6199C060,Inflacion-CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BITU5189C048,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BITU3169C180,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTITU80,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
CDTITUS0V,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CDTITU90P,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
CDTITU95,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BANCOG070827,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
BISG3199C015,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BISG319SA008,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BISG319SA004,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
COR9QPT00439,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
SKEJHKK0CP10,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
SSTMA270628,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
COR9BPT00951,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
BITU0216SA48,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BSBCX218SC36,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
BITU1099B120,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BITU1139AS15,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BITU2169C180,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
BITU4189C060,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
COR9QPT00447,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
HARBOURVEST HVSS IV,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
HARBOURVEST HDS VIII,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
LU0313358250,Fondo Mutuo o Fondo Indice,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
INST05230524,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
EPM08112027,TES GLOBAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
EPM10180729,EM CORPORATIVOS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
USP9379RBB26,TES GLOBAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
USTOUS150229,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US912796SL41,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US912828F395,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US9128283S79,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
AOPF5 AH B SANTANDER,VISTA,COP,TASA FIJA,NACIONAL,CAJA,VARIABLE,CAJA
COB13CD68216,Variable-CORPORATIVO LOCAL,COP,IBR,NACIONAL,R FIJA,VARIABLE,R FIJA
COR7CPT00060,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
FEP5 FCP BBP REAL,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
COR9BPT00969,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
BOPF5 GRUPO ARGOS,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
