llave,clase_inversion,moneda,tasa_facial,ubicacion,clasificacion,riesgo
CRAAAVSBANCOLOMBIA SA                                    USDNA,Acciones Colombia,USD,NA,NACIONAL,R VARIABLE,NV
DEPVEBNY MELLON ASSE                                   EURNA,MONEY MARKET,EUR,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEBANK OF NEW YORK MELLON                           CLPNA,MONEY MARKET,CLP,NA,INTERNACIONAL,CAJA,No Reporta
CCATPFICAA FACCVALOR                                   COPNA,Acciones Colombia - Carteras Colectivas,COP,NA,NACIONAL,R VARIABLE,No Reporta
DEPVEBROWN BROTHERS HARRIMAN                           JPYNA,MONEY MARKET,JPY,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEBROWN BROTHERS HARRIMAN                           USDNA,MONEY MARKET,USD,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEBROWN BROTHERS HARRIMAN                           CADNA,MONEY MARKET,CAD,NA,INTERNACIONAL,CAJA,No Reporta
DEPVEBROWN BROTHERS HARRIMAN                           EURNA,MONEY MARKET,EUR,NA,INTERNACIONAL,CAJA,No Reporta
CCAFICA ALIANZAFID                                   COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
CCAFONDO DE INVERSION COLECTIVA DEL MERCADO MONETARIOCOPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVEBROWN BROTHERS HARRIMAN  CO                       JPYNA,MONEY MARKET,JPY,NA,INTERNACIONAL,CAJA,No Reporta
CCAFICA COLPATRIA                                    COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
CCAFICA PREVISORA                                    COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
CCAFICA SUMAR-FBOG                                   COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
CCAFICA FIDUCUENTA                                   COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
FCPFCP VRFORESTALCOMP8                               COPNA,Fondo de Capital Privado Colombia,COP,NA,NACIONAL,R VARIABLE,No Reporta
DEPVEMORGAN STANLEY CO INCORPORAT                      USDNA,MONEY MARKET,USD,NA,INTERNACIONAL,CAJA,No Reporta
FCPFCPTLCCARTAGENA                                   COPNA,Fondo de Capital Privado Colombia,COP,NA,NACIONAL,R VARIABLE,No Reporta
PFMUIAFIDELITY FF CHINA CONSUMER FUND                   USDNA,Fondo Mutuo o Fondo Indice,USD,NA,INTERNACIONAL,R VARIABLE,No Reporta
FCPEFCPLEXINGTONCP8                                   USDNA,Fondo de Capital Privado,USD,NA,INTERNACIONAL,R VARIABLE,No Reporta
FCPEFCPDOVERSTREETIX                                  USDNA,Fondo de Capital Privado,USD,NA,INTERNACIONAL,R VARIABLE,No Reporta
FCPEFCPDOVERSTREET8                                   USDNA,Fondo de Capital Privado,USD,NA,INTERNACIONAL,R VARIABLE,No Reporta
FCPEFCPNBCOINVERSIONIII                               USDNA,Fondo de Capital Privado,USD,NA,INTERNACIONAL,R VARIABLE,No Reporta
FCPEFCP HARBOUR MZZ                                   USDNA,Fondo de Capital Privado,USD,NA,INTERNACIONAL,R VARIABLE,No Reporta
PFMUIAMORGAN STANLEY INVESTMENT FUNDS GLOBAL BRANDSZMO  USDNA,Fondo Mutuo o Fondo Indice,USD,NA,INTERNACIONAL,R VARIABLE,No Reporta
FCPEFCPALPINVESTVII                                   USDNA,Fondo de Capital Privado,USD,NA,INTERNACIONAL,R VARIABLE,No Reporta
FCPEFCPEQTVII                                         EURNA,Fondo de Capital Privado,EUR,NA,INTERNACIONAL,R VARIABLE,No Reporta
CCAFICA INTERES                                      COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
FCPEFCPPINEBRISECIV                                   USDNA,Fondo de Capital Privado,USD,NA,INTERNACIONAL,R VARIABLE,No Reporta
FCPEFCPTPGVII                                         USDNA,Fondo de Capital Privado,USD,NA,INTERNACIONAL,R VARIABLE,No Reporta
FCPEFCPPGDIRECT2016                                   USDNA,Fondo de Capital Privado,USD,NA,INTERNACIONAL,R VARIABLE,No Reporta
BOENVSPROMIORIENTESAESP                                 COPIPC,Inflacion-CORPORATIVO LOCAL,COP,IPC,NACIONAL,R FIJA,INFLACIÓN
FCPEFCPBLACKSTOCAPVII                                 USDNA,Fondo de Capital Privado,USD,NA,INTERNACIONAL,R VARIABLE,No Reporta
DEPVNHELM BANK SA                                      COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO COLPATRIA                                   COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO DE BOGOTA S. A.                             COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCOLOMBIA S.A.                                  COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBCOSUDAMERIS                                      COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBCOBBVACOLOMBIASA                                 COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO DAVIVIENDA SA                               COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO DAVIVIENDA                                  COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNCORPORACION FINANCIERA COLOMBIANA SA              COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO GNB SUDAMERIS SA                            COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO BBVA COLOMBIA SA                            COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO DE OCCIDENTE SA                             COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO COMERCIAL AV VILLAS SA                      COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO DE BOGOTA                                   COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO POPULAR                                     COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA SA BBVA  COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO COLPATRIA MULTIBANCA COLPATRIA SA           COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCOLOMBIA SA                                    COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO DE BOGOTA SA                                COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO DE LA REPUBLICA                             COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO ITAU CORPBANCA COLOMBIA                     COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO GNB SUDAMERIS S.A.                          COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO DAVIVIENDA S.A.                             COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO CAJA SOCIAL BCSC                            COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO AGRARIO DE COLOMBIA SA                      COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNCITIBANK  COLOMBIA SA                             COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNBANCO COLPATRIA RED MULTIBANCA SA                 COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
DEPVNCITIBANK COLOMBIA                                 COPNA,VISTA,COP,NA,NACIONAL,CAJA,No Reporta
